model,variant,split,accuracy,precision,recall,f1,roc_auc
hgb,baseline,train,1.0,1.0,1.0,1.0,1.0
hgb,baseline,test,0.9505247376311844,0.8875,0.7473684210526316,0.8114285714285714,0.9061832903938168
et,baseline,train,1.0,1.0,1.0,1.0,1.0
et,baseline,test,0.9085457271364318,0.9722222222222222,0.3684210526315789,0.5343511450381679,0.9137835848362165
rf,baseline,train,1.0,1.0,1.0,1.0,1.0
rf,baseline,test,0.9415292353823088,0.9827586206896551,0.6,0.7450980392156863,0.9195620169304379
hgb,tuned,train,1.0,1.0,1.0,1.0,1.0
hgb,tuned,test,0.952023988005997,0.8539325842696629,0.8,0.8260869565217391,0.9138571954361429
et,tuned,train,0.8897224306076519,0.5813148788927336,0.865979381443299,0.6956521739130435,0.9370253794701449
et,tuned,test,0.8800599700149925,0.5531914893617021,0.8210526315789474,0.6610169491525424,0.8763709974236289
rf,tuned,train,0.9643660915228808,0.8785529715762274,0.8762886597938144,0.8774193548387097,0.9948826968854938
rf,tuned,test,0.9370314842578711,0.7523809523809524,0.8315789473684211,0.79,0.9247331615752669
